Entry,Species,Name,Nature,Item,Move1,Move2,Move3,Move4,EV,Speed,Instance,HP,Ability1,Ability2
447,Gardevoir,GARDEVOIR 1,Calm,Lum Berry,Psychic,Shadow Ball,Thunder Wave,Confuse Ray,SpA/SpD,100,1,143,Synchronize,Trace
583,Gardevoir,GARDEVOIR 2,Modest,Chesto Berry,Psychic,Thunderbolt,Calm Mind,Rest,SpA/SpD,100,2,143,Synchronize,Trace
719,Gardevoir,GARDEVOIR 3,Modest,Brightpowder,Psychic,Charge Beam,Energy Ball,Focus Blast,SpA/SpD,100,3,143,Synchronize,Trace
855,Gardevoir,GARDEVOIR 4,Timid,Wise Glasses,Psychic,Thunderbolt,Shadow Ball,Destiny Bond,SpA/Spe,145,4,143,Synchronize,Trace
382,Gastrodon,GASTRODON 1,Careful,Focus Sash,Waterfall,Earthquake,Recover,Mirror Coat,HP/SpD,59,1,218,Sticky Hold,Storm Drain
518,Gastrodon,GASTRODON 2,Sassy,Zoom Lens,Muddy Water,Mud Bomb,Recover,Yawn,SpA/SpD,53,2,186,Sticky Hold,Storm Drain
654,Gastrodon,GASTRODON 3,Adamant,Shell Bell,Waterfall,Earthquake,Stone Edge,Fissure,HP/Atk,59,3,218,Sticky Hold,Storm Drain
790,Gastrodon,GASTRODON 4,Modest,Wise Glasses,Surf,Earth Power,Ice Beam,Sludge Bomb,HP/SpA,59,4,218,Sticky Hold,Storm Drain
419,Gengar,GENGAR 1,Timid,Payapa Berry,Shadow Ball,Sludge Bomb,Spite,Confuse Ray,SpA/Spe,178,1,135,Levitate,0
555,Gengar,GENGAR 2,Modest,Life Orb,Shadow Ball,Dream Eater,Hypnosis,Substitute,SpA/Spe,162,2,135,Levitate,0
691,Gengar,GENGAR 3,Modest,Scope Lens,Psychic,Energy Ball,Focus Blast,Confuse Ray,SpA/Spe,162,3,135,Levitate,0
827,Gengar,GENGAR 4,Modest,Lum Berry,Shadow Ball,Sludge Bomb,Thunderbolt,Destiny Bond,SpA/Spe,162,4,135,Levitate,0
316,Girafarig,GIRAFARIG 2,Adamant,Razor Claw,Zen Headbutt,Double Hit,Crunch,Thunder Wave,Atk/Spe,137,2,145,Inner Focus,Early Bird
458,Glaceon,GLACEON 1,Calm,Lax Incense,Ice Beam,Water Pulse,Double Team,Baton Pass,SpA/SpD,85,1,140,Snow Cloak,0
594,Glaceon,GLACEON 2,Calm,Leftovers,Ice Beam,Double Team,Yawn,Hail,SpA/SpD,85,2,140,Snow Cloak,0
730,Glaceon,GLACEON 3,Modest,Focus Sash,Blizzard,Hyper Beam,Hail,Mirror Coat,Def/SpA,85,3,140,Snow Cloak,0
866,Glaceon,GLACEON 4,Modest,Wise Glasses,Ice Beam,Shadow Ball,Signal Beam,Water Pulse,Def/SpA,85,4,140,Snow Cloak,0
390,Glalie,GLALIE 1,Brave,Iron Ball,Avalanche,Payback,Gyro Ball,Ice Shard,HP/Def/SpD,90,1,176,Inner Focus,Ice Body
526,Glalie,GLALIE 2,Adamant,Lum Berry,Ice Fang,Crunch,Earthquake,Explosion,HP/Atk,100,2,187,Inner Focus,Ice Body
662,Glalie,GLALIE 3,Modest,Scope Lens,Ice Beam,Shadow Ball,Signal Beam,Water Pulse,HP/SpA,100,3,187,Inner Focus,Ice Body
798,Glalie,GLALIE 4,Modest,Lax Incense,Blizzard,Dark Pulse,Sheer Cold,Hail,HP/SpA,100,4,187,Inner Focus,Ice Body
441,Gliscor,GLISCOR 1,Adamant,Yache Berry,Earthquake,Aerial Ace,Swords Dance,Baton Pass,Atk/Def,115,1,150,Hyper Cutter,Sand Veil
577,Gliscor,GLISCOR 2,Jolly,Razor Fang,Earthquake,Fire Fang,Thunder Fang,Ice Fang,Atk/Spe,161,2,150,Hyper Cutter,Sand Veil
713,Gliscor,GLISCOR 3,Jolly,Focus Sash,Guillotine,Earthquake,U-turn,Counter,HP/Spe,161,3,182,Hyper Cutter,Sand Veil
849,Gliscor,GLISCOR 4,Adamant,Expert Belt,Earthquake,Aerial Ace,X-Scissor,Stone Edge,Atk/Def,115,4,150,Hyper Cutter,Sand Veil
415,Golduck,GOLDUCK 1,Modest,Rindo Berry,Surf,Psychic,Confuse Ray,Calm Mind,HP/SpA,105,1,187,Damp,Cloud Nine
551,Golduck,GOLDUCK 2,Adamant,Shell Bell,Waterfall,Mud Bomb,Shadow Claw,Aerial Ace,Atk/Spe,137,2,155,Damp,Cloud Nine
687,Golduck,GOLDUCK 3,Adamant,Scope Lens,Aqua Tail,Cross Chop,Ice Punch,Zen Headbutt,HP/Atk,105,3,187,Damp,Cloud Nine
823,Golduck,GOLDUCK 4,Modest,Wacan Berry,Hydro Pump,Psychic,Ice Beam,Signal Beam,HP/SpA,105,4,187,Damp,Cloud Nine
395,Golem,GOLEM 1,Impish,Focus Band,Earthquake,Rock Slide,Sucker Punch,Sandstorm,Atk/Def,65,1,155,Rock Head,Sturdy
531,Golem,GOLEM 2,Adamant,White Herb,Earthquake,Superpower,Fire Punch,ThunderPunch,Atk/Def,65,2,155,Rock Head,Sturdy
667,Golem,GOLEM 3,Brave,Iron Ball,Gyro Ball,Earthquake,Hammer Arm,Fling,Atk/Def,58,3,155,Rock Head,Sturdy
803,Golem,GOLEM 4,Brave,Quick Claw,Earthquake,Stone Edge,Gyro Ball,Explosion,Atk/Def,58,4,155,Rock Head,Sturdy
367,Granbull,GRANBULL 1,Adamant,Razor Claw,Return,Rock Slide,Crunch,Thunder Wave,HP/Atk,65,1,197,Intimidate,Quick Feet
503,Granbull,GRANBULL 2,Adamant,Quick Claw,Facade,Fire Fang,Thunder Fang,Ice Fang,HP/Atk,65,2,197,Intimidate,Quick Feet
639,Granbull,GRANBULL 3,Adamant,Muscle Band,Fire Punch,ThunderPunch,Ice Punch,Payback,HP/Atk,65,3,197,Intimidate,Quick Feet
775,Granbull,GRANBULL 4,Adamant,Life Orb,Giga Impact,Close Combat,Earthquake,Stone Edge,HP/Atk,65,4,197,Intimidate,Quick Feet
472,Gyarados,GYARADOS 1,Careful,Razor Fang,Aqua Tail,Ice Fang,Bite,Rain Dance,Atk/SpD,101,1,170,Intimidate,0
608,Gyarados,GYARADOS 2,Jolly,Lum Berry,Waterfall,Ice Fang,Iron Head,Dragon Dance,Atk/Spe,146,2,170,Intimidate,0
744,Gyarados,GYARADOS 3,Adamant,Persim Berry,Outrage,Waterfall,Stone Edge,Giga Impact,Atk/SpD,101,3,170,Intimidate,0
880,Gyarados,GYARADOS 4,Adamant,Chesto Berry,Waterfall,Earthquake,Rest,Dragon Dance,Atk/Spe,133,4,170,Intimidate,0
376,Hariyama,HARIYAMA 1,Adamant,Persim Berry,Arm Thrust,Earthquake,Facade,Fake Out,HP/Atk,70,1,251,Thick Fat,Guts
512,Hariyama,HARIYAMA 2,Adamant,Iron Ball,Revenge,Payback,Fling,Fake Out,HP/Atk,70,2,251,Thick Fat,Guts
648,Hariyama,HARIYAMA 3,Adamant,Life Orb,DynamicPunch,Fire Punch,ThunderPunch,Ice Punch,HP/Atk,70,3,251,Thick Fat,Guts
784,Hariyama,HARIYAMA 4,Adamant,Scope Lens,Cross Chop,Earthquake,Stone Edge,Poison Jab,HP/Atk,70,4,251,Thick Fat,Guts
906,Heatran,HEATRAN 1,Modest,Shuca Berry,Heat Wave,Flash Cannon,AncientPower,Scary Face,SpA/SpD,97,1,166,Flash Fire,0
920,Heatran,HEATRAN 2,Adamant,Quick Claw,Iron Head,Earthquake,Stone Edge,Crunch,HP/Atk,97,2,198,Flash Fire,0
934,Heatran,HEATRAN 3,Modest,Brightpowder,Flamethrower,Earth Power,Dragon Pulse,Dark Pulse,HP/SpA,97,3,198,Flash Fire,0
948,Heatran,HEATRAN 4,Quiet,Focus Sash,Magma Storm,Flash Cannon,Earth Power,Explosion,Atk/SpA,87,4,166,Flash Fire,0
424,Heracross,HERACROSS 1,Jolly,Focus Band,Megahorn,Focus Punch,Swagger,Attract,Atk/Spe,150,1,155,Swarm,Guts
560,Heracross,HERACROSS 2,Adamant,Scope Lens,Close Combat,Aerial Ace,Night Slash,Bulk Up,Atk/SpD,105,2,155,Swarm,Guts
696,Heracross,HERACROSS 3,Adamant,Coba Berry,Megahorn,Stone Edge,Facade,Shadow Claw,Atk/Spe,137,3,155,Swarm,Guts
832,Heracross,HERACROSS 4,Jolly,Salac Berry,Megahorn,Earthquake,Reversal,Endure,Atk/Spe,150,4,155,Swarm,Guts
460,Hippowdon,HIPPOWDON 1,Impish,Persim Berry,Earthquake,Crunch,Slack Off,Curse,Atk/Def,67,1,183,Sand Stream,0
596,Hippowdon,HIPPOWDON 2,Impish,Sitrus Berry,Earthquake,Swagger,Sand Tomb,Yawn,Atk/Def,67,2,183,Sand Stream,0
732,Hippowdon,HIPPOWDON 3,Adamant,White Herb,Superpower,Fire Fang,Ice Fang,Fissure,HP/Atk,67,3,215,Sand Stream,0
868,Hippowdon,HIPPOWDON 4,Adamant,Quick Claw,Earthquake,Stone Edge,Crunch,Thunder Fang,HP/Atk,67,4,215,Sand Stream,0
315,Hitmonchan,HITMONCHAN 2,Adamant,King's Rock,Sky Uppercut,Mega Punch,Bullet Punch,Counter,Atk/SpD/Spe,117,2,125,Keen Eye,Iron Fist
314,Hitmonlee,HITMONLEE 2,Adamant,Salac Berry,Hi Jump Kick,Blaze Kick,Mega Kick,Endure,Atk/SpD/Spe,128,2,125,Limber,Reckless
317,Hitmontop,HITMONTOP 2,Adamant,Muscle Band,Triple Kick,Bullet Punch,Aerial Ace,Counter,HP/Atk,90,2,157,Intimidate,Technician
438,Honchkrow,HONCHKROW 1,Adamant,Wacan Berry,Night Slash,Aerial Ace,Torment,Taunt,HP/Atk,91,1,207,Insomnia,Super Luck
574,Honchkrow,HONCHKROW 2,Adamant,White Herb,Superpower,Pluck,Confuse Ray,Thunder Wave,HP/Atk,91,2,207,Insomnia,Super Luck
710,Honchkrow,HONCHKROW 3,Modest,Life Orb,Dark Pulse,Air Cutter,Psychic,Shadow Ball,HP/SpA,91,3,207,Insomnia,Super Luck
846,Honchkrow,HONCHKROW 4,Adamant,Scope Lens,Night Slash,Drill Peck,Sucker Punch,Steel Wing,HP/Atk,91,4,207,Insomnia,Super Luck
426,Houndoom,HOUNDOOM 1,Jolly,Focus Sash,Fire Fang,Crunch,Roar,Counter,Atk/Spe,161,1,150,Early Bird,Flash Fire
562,Houndoom,HOUNDOOM 2,Jolly,Focus Sash,Fire Fang,Thunder Fang,Reversal,Endure,Atk/Spe,161,2,150,Early Bird,Flash Fire
698,Houndoom,HOUNDOOM 3,Modest,Passho Berry,Flamethrower,Shadow Ball,Sludge Bomb,Will-O-Wisp,SpA/Spe,147,3,150,Early Bird,Flash Fire
834,Houndoom,HOUNDOOM 4,Timid,White Herb,Overheat,Dark Pulse,SolarBeam,Sunny Day,SpA/Spe,161,4,150,Early Bird,Flash Fire
394,Hypno,HYPNO 1,Brave,Iron Ball,Psycho Cut,Fling,Hypnosis,Trick Room,Atk/SpD,78,1,160,Insomnia,Forewarn
530,Hypno,HYPNO 2,Hardy,Persim Berry,Dream Eater,Nightmare,Drain Punch,Hypnosis,SpA/SpD,87,2,160,Insomnia,Forewarn
666,Hypno,HYPNO 3,Adamant,Sitrus Berry,Zen Headbutt,Fire Punch,ThunderPunch,Ice Punch,Atk/SpD,87,3,160,Insomnia,Forewarn
802,Hypno,HYPNO 4,Modest,Choice Specs,Psychic,Shadow Ball,Signal Beam,Focus Blast,SpA/SpD,87,4,160,Insomnia,Forewarn
361,Infernape,INFERNAPE 1,Jolly,Coba Berry,Close Combat,Fire Punch,U-turn,Fake Out,Atk/Spe,176,1,151,Blaze,0
497,Infernape,INFERNAPE 2,Adamant,Muscle Band,Blaze Kick,Shadow Claw,ThunderPunch,Gunk Shot,Atk/Spe,160,2,151,Blaze,0
633,Infernape,INFERNAPE 3,Modest,Brightpowder,Flamethrower,Focus Blast,SolarBeam,Sunny Day,SpA/Spe,160,3,151,Blaze,0
769,Infernape,INFERNAPE 4,Jolly,King's Rock,Flare Blitz,Close Combat,Earthquake,ThunderPunch,Atk/Spe,176,4,151,Blaze,0
453,Jolteon,JOLTEON 1,Timid,Focus Sash,Thunderbolt,Thunder Wave,Agility,Baton Pass,SpA/Spe,200,1,140,Volt Absorb,0
589,Jolteon,JOLTEON 2,Docile,Razor Claw,Discharge,Double Kick,Dig,Thunder Wave,Atk/SpA,150,2,140,Volt Absorb,0
725,Jolteon,JOLTEON 3,Timid,Lax Incense,Thunder,Shadow Ball,Rain Dance,Yawn,SpA/Spe,200,3,140,Volt Absorb,0
861,Jolteon,JOLTEON 4,Modest,Razor Fang,Thunderbolt,Hyper Beam,Shadow Ball,Signal Beam,SpA/Spe,182,4,140,Volt Absorb,0
368,Jynx,JYNX 1,Calm,Chesto Berry,Psychic,Ice Beam,Lovely Kiss,Fake Tears,SpA/SpD,115,1,140,Oblivious,Forewarn
504,Jynx,JYNX 2,Calm,Lax Incense,Dream Eater,Lovely Kiss,Perish Song,Mean Look,SpA/SpD,115,2,140,Oblivious,Forewarn
640,Jynx,JYNX 3,Modest,Expert Belt,Blizzard,Energy Ball,Signal Beam,Wring Out,SpA/Spe,147,3,140,Oblivious,Forewarn
776,Jynx,JYNX 4,Modest,Choice Specs,Ice Beam,Psychic,Focus Blast,Shadow Ball,SpA/Spe,147,4,140,Oblivious,Forewarn
348,Kabutops,KABUTOPS 2,Adamant,Razor Claw,Waterfall,Rock Slide,Slash,Swords Dance,Atk/Def,100,2,135,Swift Swim,Battle Armor
399,Kangaskhan,KANGASKHAN 1,Jolly,Salac Berry,Double-Edge,Crunch,Reversal,Endure,Atk/Spe,156,1,180,Early Bird,Scrappy
535,Kangaskhan,KANGASKHAN 2,Adamant,Razor Claw,Dizzy Punch,Fire Punch,ThunderPunch,Ice Punch,HP/Atk,110,2,212,Early Bird,Scrappy
671,Kangaskhan,KANGASKHAN 3,Jolly,Life Orb,Double Hit,Hammer Arm,Shadow Claw,Rock Slide,Atk/Spe,156,3,180,Early Bird,Scrappy
807,Kangaskhan,KANGASKHAN 4,Adamant,Muscle Band,Giga Impact,Earthquake,Crunch,Outrage,HP/Atk,110,4,212,Early Bird,Scrappy
474,Kingdra,KINGDRA 1,Timid,Razor Fang,Surf,Dragon Pulse,SmokeScreen,Rain Dance,SpA/Spe,150,1,150,Swift Swim,Sniper
610,Kingdra,KINGDRA 2,Timid,Shell Bell,Brine,Ice Beam,Twister,Yawn,SpA/Spe,150,2,150,Swift Swim,Sniper
746,Kingdra,KINGDRA 3,Adamant,Lum Berry,Waterfall,Outrage,Iron Head,Dragon Dance,HP/Atk,105,3,182,Swift Swim,Sniper
882,Kingdra,KINGDRA 4,Modest,Wide Lens,Hydro Pump,Draco Meteor,Blizzard,Signal Beam,HP/SpA,105,4,182,Swift Swim,Sniper
338,Kingler,KINGLER 2,Jolly,Salac Berry,Crabhammer,Guillotine,Flail,Endure,Atk/Spe,139,2,130,Hyper Cutter,Shell Armor
291,Lairon,LAIRON 2,Impish,Sitrus Berry,Iron Head,Rock Slide,Earthquake,Roar,Atk/Def,60,2,135,Sturdy,Rock Head
370,Lanturn,LANTURN 1,Modest,Rindo Berry,Surf,Discharge,Thunder Wave,Aqua Ring,HP/SpA,87,1,232,Volt Absorb,Illuminate
506,Lanturn,LANTURN 2,Calm,Lum Berry,Dive,Confuse Ray,Thunder Wave,Attract,HP/SpD,87,2,232,Volt Absorb,Illuminate
642,Lanturn,LANTURN 3,Modest,Sitrus Berry,Hydro Pump,Thunder,Blizzard,Rain Dance,HP/SpA,87,3,232,Volt Absorb,Illuminate
778,Lanturn,LANTURN 4,Modest,Expert Belt,Surf,Thunderbolt,Ice Beam,Signal Beam,HP/SpA,87,4,232,Volt Absorb,Illuminate
466,Lapras,LAPRAS 1,Adamant,Leftovers,Aqua Tail,Avalanche,Ice Shard,Curse,HP/Atk,80,1,237,Water Absorb,Shell Armor
602,Lapras,LAPRAS 2,Impish,Quick Claw,Sheer Cold,Perish Song,Sing,Confuse Ray,Def/SpD,80,2,205,Water Absorb,Shell Armor
738,Lapras,LAPRAS 3,Adamant,Lum Berry,Waterfall,Outrage,Zen Headbutt,Dragon Dance,HP/Atk,80,3,237,Water Absorb,Shell Armor
874,Lapras,LAPRAS 4,Modest,Brightpowder,Surf,Ice Beam,Psychic,Thunderbolt,HP/SpA,80,4,237,Water Absorb,Shell Armor
904,Latias,LATIAS 1,Calm,Lum Berry,Psychic,Dragon Pulse,Attract,Calm Mind,SpA/SpD,130,1,155,Levitate,0
918,Latias,LATIAS 2,Adamant,Expert Belt,Dragon Claw,Zen Headbutt,Earthquake,Aerial Ace,Atk/Spe,162,2,155,Levitate,0
932,Latias,LATIAS 3,Timid,Brightpowder,Psychic,Ice Beam,Energy Ball,Shadow Ball,SpA/Spe,178,3,155,Levitate,0
946,Latias,LATIAS 4,Modest,White Herb,Mist Ball,Draco Meteor,Thunderbolt,Surf,SpA/Spe,162,4,155,Levitate,0
905,Latios,LATIOS 1,Calm,Focus Band,Psychic,Dragon Pulse,Thunder Wave,Calm Mind,SpA/SpD,130,1,155,Levitate,0
919,Latios,LATIOS 2,Adamant,Lum Berry,Dragon Claw,Shadow Claw,Earthquake,Dragon Dance,Atk/Spe,162,2,155,Levitate,0
933,Latios,LATIOS 3,Timid,Brightpowder,Psychic,Thunderbolt,Ice Beam,Energy Ball,SpA/Spe,178,3,155,Levitate,0
947,Latios,LATIOS 4,Modest,White Herb,Luster Purge,Draco Meteor,Hyper Beam,Surf,SpA/Spe,162,4,155,Levitate,0
457,Leafeon,LEAFEON 1,Jolly,Scope Lens,Leaf Blade,Aerial Ace,Double Team,Baton Pass,Atk/Spe,161,1,140,Leaf Guard,0
593,Leafeon,LEAFEON 2,Jolly,Brightpowder,Leaf Blade,Last Resort,Curse,GrassWhistle,Atk/Spe,161,2,140,Leaf Guard,0
729,Leafeon,LEAFEON 3,Adamant,Heat Rock,Leaf Blade,X-Scissor,Synthesis,Sunny Day,Atk/Def,115,3,140,Leaf Guard,0
865,Leafeon,LEAFEON 4,Adamant,Quick Claw,Leaf Blade,X-Scissor,Aerial Ace,Bite,Atk/Def,115,4,140,Leaf Guard,0
445,Lickilicky,LICKILICKY 1,Careful,Chesto Berry,Return,Earthquake,Belly Drum,Rest,HP/Atk,70,1,217,Own Tempo,Oblivious
581,Lickilicky,LICKILICKY 2,Modest,Expert Belt,Surf,Ice Beam,Thunderbolt,Shadow Ball,HP/SpA,70,2,217,Own Tempo,Oblivious
717,Lickilicky,LICKILICKY 3,Brave,Lum Berry,Return,Gyro Ball,Curse,Rest,HP/Atk,63,3,217,Own Tempo,Oblivious
853,Lickilicky,LICKILICKY 4,Adamant,Lax Incense,Body Slam,Power Whip,Earthquake,Explosion,HP/Atk,70,4,217,Own Tempo,Oblivious
391,Lopunny,LOPUNNY 1,Jolly,Focus Band,Return,Drain Punch,Charm,Mirror Coat,Atk/Spe,172,1,140,Cute Charm,Klutz
527,Lopunny,LOPUNNY 2,Jolly,Brightpowder,Focus Punch,Sweet Kiss,Attract,Thunder Wave,HP/Spe,172,2,172,Cute Charm,Klutz
663,Lopunny,LOPUNNY 3,Modest,Wise Glasses,Charge Beam,Ice Beam,Shadow Ball,Focus Blast,SpA/Spe,157,3,140,Cute Charm,Klutz
799,Lopunny,LOPUNNY 4,Jolly,Muscle Band,Dizzy Punch,Fire Punch,ThunderPunch,Ice Punch,Atk/Spe,172,4,140,Cute Charm,Klutz
459,Lucario,LUCARIO 1,Modest,Brightpowder,Aura Sphere,Flash Cannon,Water Pulse,Roar,SpA/Spe,142,1,145,Steadfast,Inner Focus
595,Lucario,LUCARIO 2,Adamant,Scope Lens,Cross Chop,Stone Edge,ThunderPunch,Ice Punch,Atk/Spe,142,2,145,Steadfast,Inner Focus
731,Lucario,LUCARIO 3,Adamant,Muscle Band,Close Combat,Earthquake,Blaze Kick,Shadow Claw,Atk/Spe,142,3,145,Steadfast,Inner Focus
867,Lucario,LUCARIO 4,Modest,Expert Belt,Aura Sphere,Psychic,Shadow Ball,Dragon Pulse,SpA/Spe,142,4,145,Steadfast,Inner Focus
387,Ludicolo,LUDICOLO 1,Adamant,Muscle Band,Waterfall,Razor Leaf,Drain Punch,Swords Dance,Atk/SpD,90,1,155,Swift Swim,Rain Dish
523,Ludicolo,LUDICOLO 2,Impish,Leftovers,Leech Seed,Toxic,Double Team,Rain Dance,HP/Def/SpD,90,2,176,Swift Swim,Rain Dish
659,Ludicolo,LUDICOLO 3,Modest,Wide Lens,Hydro Pump,Grass Knot,Blizzard,Focus Blast,HP/SpA,90,3,187,Swift Swim,Rain Dish
795,Ludicolo,LUDICOLO 4,Modest,Lum Berry,Surf,Giga Drain,Ice Beam,Rain Dance,SpA/SpD,90,4,155,Swift Swim,Rain Dish
298,Lunatone,LUNATONE 2,Modest,Passho Berry,Psychic,AncientPower,Shadow Ball,Cosmic Power,SpA/SpD,90,2,145,Levitate,0
433,Luxray,LUXRAY 1,Adamant,Razor Claw,Thunder Fang,Crunch,Howl,Charge,HP/Atk,90,1,187,Rivalry,Intimidate
569,Luxray,LUXRAY 2,Modest,Wise Glasses,Thunderbolt,Signal Beam,Thunder Wave,Magnet Rise,HP/SpA,90,2,187,Rivalry,Intimidate
705,Luxray,LUXRAY 3,Adamant,White Herb,Thunder Fang,Ice Fang,Superpower,Thunder Wave,HP/Atk,90,3,187,Rivalry,Intimidate
841,Luxray,LUXRAY 4,Adamant,Muscle Band,Thunder Fang,Ice Fang,Crunch,Thunder Wave,HP/Atk,90,4,187,Rivalry,Intimidate
435,Machamp,MACHAMP 1,Adamant,Scope Lens,Cross Chop,Earthquake,Bullet Punch,Foresight,HP/Atk,75,1,197,Guts,No Guard
571,Machamp,MACHAMP 2,Adamant,Focus Sash,Revenge,Earthquake,Payback,Counter,Def/SpD,75,2,165,Guts,No Guard
707,Machamp,MACHAMP 3,Adamant,Quick Claw,DynamicPunch,Earthquake,Stone Edge,Ice Punch,HP/Atk,75,3,197,Guts,No Guard
843,Machamp,MACHAMP 4,Adamant,Quick Claw,Cross Chop,Earthquake,ThunderPunch,Fire Punch,HP/Atk,75,4,197,Guts,No Guard
264,Magcargo,MAGCARGO 2,Quiet,Quick Claw,Overheat,Rock Slide,Earthquake,Body Slam,Atk/SpA,45,2,125,Magma Armor,Flame Body
478,Magmortar,MAGMORTAR 1,Modest,Heat Rock,Fire Blast,Focus Blast,Will-O-Wisp,Sunny Day,SpA/Spe,135,1,150,Flame Body,0
614,Magmortar,MAGMORTAR 2,Adamant,Shuca Berry,Fire Punch,Focus Punch,Confuse Ray,SmokeScreen,Atk/Spe,135,2,150,Flame Body,0
750,Magmortar,MAGMORTAR 3,Adamant,Passho Berry,Flare Blitz,ThunderPunch,Earthquake,Brick Break,Atk/Spe,135,3,150,Flame Body,0
886,Magmortar,MAGMORTAR 4,Modest,White Herb,Overheat,Psychic,Focus Blast,Confuse Ray,SpA/Spe,135,4,150,Flame Body,0
328,Magneton,MAGNETON 2,Modest,Shuca Berry,Thunderbolt,Mirror Shot,Thunder Wave,Magnet Rise,Def/SpA,90,2,125,Magnet Pull,Sturdy
468,Magnezone,MAGNEZONE 1,Bold,Light Clay,Thunderbolt,Mirror Shot,Light Screen,Reflect,Def/SpA,80,1,145,Magnet Pull,Sturdy
604,Magnezone,MAGNEZONE 2,Impish,Lum Berry,Iron Head,Explosion,Swagger,Psych Up,Atk/Def,80,2,145,Magnet Pull,Sturdy
740,Magnezone,MAGNEZONE 3,Modest,Chesto Berry,Charge Beam,Flash Cannon,Magnet Rise,Thunder Wave,Def/SpA,80,3,145,Magnet Pull,Sturdy
876,Magnezone,MAGNEZONE 4,Modest,Brightpowder,Thunderbolt,Flash Cannon,Tri Attack,Signal Beam,Def/SpA,80,4,145,Magnet Pull,Sturdy
465,Mamoswine,MAMOSWINE 1,Adamant,Icy Rock,Earthquake,Ice Fang,Peck,Hail,HP/Atk,100,1,217,Oblivious,Snow Cloak
601,Mamoswine,MAMOSWINE 2,Adamant,Sitrus Berry,Avalanche,Earthquake,Iron Head,Curse,HP/Atk,100,2,217,Oblivious,Snow Cloak
737,Mamoswine,MAMOSWINE 3,Adamant,Lax Incense,Earthquake,Superpower,Fissure,Hail,HP/Atk,100,3,217,Oblivious,Snow Cloak
873,Mamoswine,MAMOSWINE 4,Adamant,Life Orb,Earthquake,Ice Fang,Stone Edge,Double-Edge,HP/Atk,100,4,217,Oblivious,Snow Cloak
380,Manectric,MANECTRIC 1,Adamant,Shuca Berry,Thunder Fang,Crunch,Roar,Thunder Wave,Atk/Spe,157,1,145,Static,Lightningrod
516,Manectric,MANECTRIC 2,Modest,Damp Rock,Thunder,Hyper Beam,Thunder Wave,Rain Dance,SpA/Spe,157,2,145,Static,Lightningrod
652,Manectric,MANECTRIC 3,Adamant,Quick Claw,Thunder Fang,Fire Fang,Ice Fang,Bite,Atk/Spe,157,3,145,Static,Lightningrod
788,Manectric,MANECTRIC 4,Timid,Brightpowder,Thunderbolt,Flamethrower,Signal Beam,Swift,SpA/Spe,172,4,145,Static,Lightningrod
364,Marowak,MAROWAK 1,Adamant,Razor Claw,Bone Rush,Brick Break,Iron Tail,Sandstorm,Atk/Def,65,1,135,Rock Head,Lightningrod
500,Marowak,MAROWAK 2,Adamant,Thick Club,Bone Rush,Fire Punch,ThunderPunch,Rock Slide,Atk/Def,65,2,135,Rock Head,Lightningrod
636,Marowak,MAROWAK 3,Adamant,Thick Club,Earthquake,Giga Impact,Outrage,Fire Punch,Atk/Def,65,3,135,Rock Head,Lightningrod
772,Marowak,MAROWAK 4,Adamant,Thick Club,Earthquake,Stone Edge,Iron Head,ThunderPunch,Atk/Def,65,4,135,Rock Head,Lightningrod
365,Medicham,MEDICHAM 1,Jolly,Salac Berry,Zen Headbutt,Reversal,Endure,Fake Out,Atk/Spe,145,1,135,Pure Power,0
501,Medicham,MEDICHAM 2,Jolly,Cheri Berry,Drain Punch,Poison Jab,Detect,Recover,Atk/Spe,145,2,135,Pure Power,0
637,Medicham,MEDICHAM 3,Modest,Wise Glasses,Psychic,Focus Blast,Shadow Ball,Calm Mind,SpA/Spe,132,3,135,Pure Power,0
773,Medicham,MEDICHAM 4,Adamant,Scope Lens,Psycho Cut,Fire Punch,ThunderPunch,Ice Punch,Atk/Spe,132,4,135,Pure Power,0
354,Meganium,MEGANIUM 1,Modest,Heat Rock,SolarBeam,AncientPower,Synthesis,Sunny Day,Def/SpD,100,1,155,Overgrow,0
490,Meganium,MEGANIUM 2,Calm,Big Root,Giga Drain,Leech Seed,Toxic,Substitute,HP/Def/SpD,100,2,176,Overgrow,0
626,Meganium,MEGANIUM 3,Bold,Light Clay,Leaf Storm,Wring Out,Light Screen,Reflect,HP/SpA,100,3,187,Overgrow,0
762,Meganium,MEGANIUM 4,Modest,Lax Incense,Frenzy Plant,AncientPower,Hyper Beam,Light Screen,HP/SpA,100,4,187,Overgrow,0
484,Metagross,METAGROSS 1,Adamant,Brightpowder,Zen Headbutt,Bullet Punch,Facade,Light Screen,Atk/Def,90,1,155,Clear Body,0
620,Metagross,METAGROSS 2,Modest,Wise Glasses,Psychic,Flash Cannon,Shadow Ball,Sludge Bomb,Def/SpA,90,2,155,Clear Body,0
756,Metagross,METAGROSS 3,Adamant,Occa Berry,Hammer Arm,ThunderPunch,Ice Punch,Aerial Ace,Atk/Def,90,3,155,Clear Body,0
892,Metagross,METAGROSS 4,Adamant,Quick Claw,Meteor Mash,Zen Headbutt,Earthquake,Explosion,HP/Atk,90,4,187,Clear Body,0
280,Metang,METANG 2,Adamant,Shuca Berry,Meteor Mash,Zen Headbutt,Bullet Punch,Scary Face,HP/Atk,70,2,167,Clear Body,0
