Entry,Name,Species,Instance,Nature,Item,Move 1,Move 2,Move 3,Move 4,Move 1 Class,Move 2 Class,Move 3 Class,Move 4 Class,Possible Ability,Lv 100 speed,Lv 50 Speed,Attack,Defense,Support,Attack_50,Defense_50,Support_50,CONTAINS_ATK,ATK_COUNT,CONTAINS_DEF,DEF_COUNT,CONTAINS_SPT,SPT_COUNT,ALL3,NumClasses,R_ATK,R_DEF,NOMOVE,R_ATK_50,R_DEF_50,NOMOVE_50,AI_ATK,AI_DEF,AI_SPT,AI_ATK_50,AI_DEF_50,AI_SPT_50
214,Pelipper 1,Pelipper,1,Quiet,Sitrus Berry,Water Pulse,Aerial Ace,Stockpile,Swallow,Water Pulse ATK,Aerial Ace ATK,Stockpile DEF,Swallow DEF,Keen Eye,149,76,0.56,0.22,0.22,0.56,0.22,0.22,1,2,1,2,0,0,0,2,0.055,0.055,0.11,0.055,0.055,0.11,0.56,0.22,0,0.56,0.22,0
215,Swellow 1,Swellow,1,Adamant,King's Rock,Fly,Endeavor,Facade,Quick Attack,Fly ATK,Endeavor ATK,Facade ATK,Quick Attack ATK,Guts,286,145,0.38,0.31,0.31,0.7,0.15,0.15,1,4,0,0,0,0,0,1,0.31,0,0.31,0.15,0,0.15,0.38,0,0,0.7,0,0
216,Lairon 1,Lairon,1,Sassy,Metal Coat,Metal Claw,Rock Tomb,Iron Defense,Protect,Metal Claw ATK,Rock Tomb ATK,Iron Defense DEF,Protect DEF,Sturdy / Rock Head,104,54,0.88,0.06,0.06,0.22,0.2,0.58,1,2,1,2,0,0,0,2,0.015,0.015,0.03,0.145,0.145,0.29,0.88,0.06,0,0.22,0.2,0
217,Tangela 1,Tangela,1,Hardy,Lax Incense,Mega Drain,Slam,Toxic,Bind,Mega Drain ATK,Slam ATK,Toxic SPT,Bind ATK,Chlorophyll,156,80,0.61,0.07,0.32,0.61,0.07,0.32,1,3,0,0,1,1,0,2,0.035,0,0.035,0.035,0,0.035,0.61,0,0.32,0.61,0,0.32
218,Arbok 1,Arbok,1,Adamant,Persim Berry,Poison Fang,Dig,Bite,Glare,Poison Fang ATK,Dig ATK,Bite ATK,Glare SPT,Intimidate / Shed Skin,196,100,0.38,0.31,0.31,0.7,0.15,0.15,1,3,0,0,1,1,0,2,0.155,0,0.155,0.075,0,0.075,0.38,0,0.31,0.7,0,0.15
219,Persian 1,Persian,1,Quirky,Silk Scarf,Fake Out,Slash,Torment,Swagger,Fake Out ATK,Slash ATK,Torment SPT,Swagger SPT,Limber,266,135,0.56,0.22,0.22,0.56,0.22,0.22,1,2,0,0,1,2,0,2,0.11,0,0.11,0.11,0,0.11,0.56,0,0.22,0.56,0,0.22
220,Seadra 1,Seadra,1,Sassy,Mystic Water,Aurora Beam,SmokeScreen,Water Gun,Rain Dance,Aurora Beam ATK,SmokeScreen SPT,Water Gun ATK,Rain Dance DEF,Poison Point,185,94,0.88,0.06,0.06,0.22,0.2,0.58,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.88,0.06,0.06,0.22,0.2,0.58
221,Kecleon 1,Kecleon,1,Naive,Focus Band,Secret Power,Psybeam,Magic Coat,Seismic Toss,Secret Power ATK,Psybeam ATK,Magic Coat SPT,Seismic Toss ATK,Color Change,127,66,0.56,0.22,0.22,0.56,0.22,0.22,1,3,0,0,1,1,0,2,0.11,0,0.11,0.11,0,0.11,0.56,0,0.22,0.56,0,0.22
222,Vigoroth 1,Vigoroth,1,Lonely,Focus Band,Slash,Counter,Encore,Uproar,Slash ATK,Counter SPT,Encore SPT,Uproar ATK,Vital Spirit,216,110,0.2,0.25,0.55,0.84,0.08,0.08,1,2,0,0,1,2,0,2,0.125,0,0.125,0.04,0,0.04,0.2,0,0.55,0.84,0,0.08
223,Lunatone 1,Lunatone,1,Quiet,Sitrus Berry,Confusion,Cosmic Power,Light Screen,Sandstorm,Confusion ATK,Cosmic Power DEF,Light Screen DEF,Sandstorm DEF,Levitate,158,81,0.56,0.22,0.22,0.56,0.22,0.22,1,1,1,3,0,0,0,2,0,0.11,0.11,0,0.11,0.11,0.56,0.22,0,0.56,0.22,0
224,Solrock 1,Solrock,1,Quiet,Sitrus Berry,Confusion,Fire Spin,Light Screen,Sandstorm,Confusion ATK,Fire Spin ATK,Light Screen DEF,Sandstorm DEF,Levitate,158,81,0.56,0.22,0.22,0.56,0.22,0.22,1,2,1,2,0,0,0,2,0.055,0.055,0.11,0.055,0.055,0.11,0.56,0.22,0,0.56,0.22,0
225,Noctowl 1,Noctowl,1,Relaxed,Persim Berry,Confusion,Aerial Ace,Faint Attack,Reflect,Confusion ATK,Aerial Ace ATK,Faint Attack ATK,Reflect DEF,Insomnia / Keen Eye,158,81,0.25,0.15,0.6,0.75,0.15,0.1,1,3,1,1,0,0,0,2,0.3,0,0.3,0.05,0,0.05,0.25,0.15,0,0.75,0.15,0
226,Sandslash 1,Sandslash,1,Adamant,Sitrus Berry,Crush Claw,Rock Slide,Swift,Sandstorm,Crush Claw ATK,Rock Slide ATK,Swift ATK,Sandstorm DEF,Sand Veil,166,85,0.38,0.31,0.31,0.7,0.15,0.15,1,3,1,1,0,0,0,2,0.155,0,0.155,0.075,0,0.075,0.38,0.31,0,0.7,0.15,0
227,Venomoth 1,Venomoth,1,Quirky,Persim Berry,Silver Wind,Psybeam,Sleep Powder,Skill Swap,Silver Wind ATK,Psybeam ATK,Sleep Powder SPT,Skill Swap SPT,Shield Dust,279,142,0.56,0.22,0.22,0.56,0.22,0.22,1,2,0,0,1,2,0,2,0.11,0,0.11,0.11,0,0.11,0.56,0,0.22,0.56,0,0.22
228,Chansey 1,Chansey,1,Relaxed,Sitrus Berry,Metronome,Refresh,Defense Curl,Minimize,Metronome SPT,Refresh DEF,Defense Curl DEF,Minimize DEF,Natural Cure / Serene Grace,122,63,0.25,0.15,0.6,0.75,0.15,0.1,0,0,1,3,1,1,0,2,0,0.125,0.125,0,0.375,0.375,0,0.15,0.6,0,0.15,0.1
229,Seaking 1,Seaking,1,Docile,Sitrus Berry,Water Pulse,Psybeam,Swift,Agility,Water Pulse ATK,Psybeam ATK,Swift ATK,Agility DEF,Swift Swim / Water Veil,172,88,0.56,0.22,0.22,0.56,0.22,0.22,1,3,1,1,0,0,0,2,0.11,0,0.11,0.11,0,0.11,0.56,0.22,0,0.56,0.22,0
230,Jumpluff 1,Jumpluff,1,Docile,Lax Incense,Aerial Ace,Swagger,Psych Up,Synthesis,Aerial Ace ATK,Swagger SPT,Psych Up SPT,Synthesis DEF,Chlorophyll,319,162,0.56,0.22,0.22,0.56,0.22,0.22,1,1,1,1,1,2,1,3,0,0,0,0,0,0,0.56,0.22,0.22,0.56,0.22,0.22
231,Piloswine 1,Piloswine,1,Quirky,Soft Sand,Dig,AncientPower,Hail,Light Screen,Dig ATK,AncientPower ATK,Hail DEF,Light Screen DEF,Oblivious,136,70,0.56,0.22,0.22,0.56,0.22,0.22,1,2,1,2,0,0,0,2,0.055,0.055,0.11,0.055,0.055,0.11,0.56,0.22,0,0.56,0.22,0
232,Golbat 1,Golbat,1,Relaxed,Scope Lens,Air Cutter,Confuse Ray,Toxic,Steel Wing,Air Cutter ATK,Confuse Ray SPT,Toxic SPT,Steel Wing ATK,Inner Focus,194,99,0.25,0.15,0.6,0.75,0.15,0.1,1,2,0,0,1,2,0,2,0.075,0,0.075,0.075,0,0.075,0.25,0,0.6,0.75,0,0.1
233,Primeape 1,Primeape,1,Quirky,Scope Lens,Karate Chop,Counter,Swagger,Screech,Karate Chop ATK,Counter SPT,Swagger SPT,Screech SPT,Vital Spirit,226,115,0.56,0.22,0.22,0.56,0.22,0.22,1,1,0,0,1,3,0,2,0.11,0,0.11,0.11,0,0.11,0.56,0,0.22,0.56,0,0.22
234,Hitmonlee 1,Hitmonlee,1,Adamant,Black Belt,Rolling Kick,Brick Break,Focus Energy,Facade,Rolling Kick ATK,Brick Break ATK,Focus Energy DEF,Facade ATK,Limber,210,107,0.38,0.31,0.31,0.7,0.15,0.15,1,3,1,1,0,0,0,2,0.155,0,0.155,0.075,0,0.075,0.38,0.31,0,0.7,0.15,0
235,Hitmonchan 1,Hitmonchan,1,Adamant,King's Rock,Mach Punch,Sky Uppercut,Detect,Counter,Mach Punch ATK,Sky Uppercut ATK,Detect DEF,Counter SPT,Keen Eye,188,96,0.38,0.31,0.31,0.7,0.15,0.15,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.38,0.31,0.31,0.7,0.15,0.15
236,Girafarig 1,Girafarig,1,Quiet,Petaya Berry,Psybeam,Stomp,Wish,Skill Swap,Psybeam ATK,Stomp ATK,Wish DEF,Skill Swap SPT,Inner Focus / Early Bird,185,94,0.56,0.22,0.22,0.56,0.22,0.22,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.56,0.22,0.22,0.56,0.22,0.22
237,Hitmontop 1,Hitmontop,1,Hardy,Liechi Berry,Triple Kick,Dig,Mach Punch,Quick Attack,Triple Kick ATK,Dig ATK,Mach Punch ATK,Quick Attack ATK,Intimidate,176,90,0.61,0.07,0.32,0.61,0.07,0.32,1,4,0,0,0,0,0,1,0.195,0,0.195,0.195,0,0.195,0.61,0,0,0.61,0,0
238,Banette 1,Banette,1,Sassy,Rawst Berry,Night Shade,Will-O-Wisp,Spite,Knock Off,Night Shade ATK,Will-O-Wisp SPT,Spite SPT,Knock Off ATK,Insomnia,149,76,0.88,0.06,0.06,0.22,0.2,0.58,1,2,0,0,1,2,0,2,0.03,0,0.03,0.1,0,0.1,0.88,0,0.06,0.22,0,0.58
239,Ninjask 1,Ninjask,1,Mild,Petaya Berry,Baton Pass,Swords Dance,Endure,Dig,Baton Pass DEF,Swords Dance DEF,Endure DEF,Dig ATK,Speed Boost,356,180,0.44,0.5,0.06,0.34,0.06,0.6,1,1,1,3,0,0,0,2,0,0.03,0.03,0,0.3,0.3,0.44,0.5,0,0.34,0.06,0
240,Seviper 1,Seviper,1,Hardy,Scope Lens,Poison Tail,Bite,Glare,Screech,Poison Tail ATK,Bite ATK,Glare SPT,Screech SPT,Shed Skin,166,85,0.61,0.07,0.32,0.61,0.07,0.32,1,2,0,0,1,2,0,2,0.035,0,0.035,0.035,0,0.035,0.61,0,0.32,0.61,0,0.32
241,Zangoose 1,Zangoose,1,Hardy,Persim Berry,Slash,Double Kick,Roar,Quick Attack,Slash ATK,Double Kick ATK,Roar SPT,Quick Attack ATK,Immunity,216,110,0.61,0.07,0.32,0.61,0.07,0.32,1,3,0,0,1,1,0,2,0.035,0,0.035,0.035,0,0.035,0.61,0,0.32,0.61,0,0.32
242,Camerupt 1,Camerupt,1,Quirky,Focus Band,Magnitude,Protect,Sandstorm,Rock Slide,Magnitude ATK,Protect DEF,Sandstorm DEF,Rock Slide ATK,Magma Armor,116,60,0.56,0.22,0.22,0.56,0.22,0.22,1,2,1,2,0,0,0,2,0.055,0.055,0.11,0.055,0.055,0.11,0.56,0.22,0,0.56,0.22,0
243,Sharpedo 1,Sharpedo,1,Adamant,Scope Lens,Slash,Bite,Water Pulse,Scary Face,Slash ATK,Bite ATK,Water Pulse ATK,Scary Face SPT,Rough Skin,226,115,0.38,0.31,0.31,0.7,0.15,0.15,1,3,0,0,1,1,0,2,0.155,0,0.155,0.075,0,0.075,0.38,0,0.31,0.7,0,0.15
244,Tropius 1,Tropius,1,Hardy,Sitrus Berry,Magical Leaf,Whirlwind,Aerial Ace,Steel Wing,Magical Leaf ATK,Whirlwind SPT,Aerial Ace ATK,Steel Wing ATK,Chlorophyll,138,71,0.61,0.07,0.32,0.61,0.07,0.32,1,3,0,0,1,1,0,2,0.035,0,0.035,0.035,0,0.035,0.61,0,0.32,0.61,0,0.32
245,Magneton 1,Magneton,1,Lonely,Cheri Berry,Shock Wave,SonicBoom,Thunder Wave,Supersonic,Shock Wave ATK,SonicBoom ATK,Thunder Wave SPT,Supersonic SPT,Magnet Pull / Sturdy,239,122,0.2,0.25,0.55,0.84,0.08,0.08,1,2,0,0,1,2,0,2,0.125,0,0.125,0.04,0,0.04,0.2,0,0.55,0.84,0,0.08
246,Mantine 1,Mantine,1,Docile,Mystic Water,BubbleBeam,Aerial Ace,Rain Dance,Icy Wind,BubbleBeam ATK,Aerial Ace ATK,Rain Dance DEF,Icy Wind ATK,Swift Swim / Water Absorb,176,90,0.56,0.22,0.22,0.56,0.22,0.22,1,3,1,1,0,0,0,2,0.11,0,0.11,0.11,0,0.11,0.56,0.22,0,0.56,0.22,0
247,Stantler 1,Stantler,1,Gentle,TwistedSpoon,Extrasensory,Confuse Ray,Stomp,Sand-Attack,Extrasensory ATK,Confuse Ray SPT,Stomp ATK,Sand-Attack SPT,Intimidate,206,105,0.18,0.7,0.12,0.9,0.05,0.05,1,2,0,0,1,2,0,2,0.35,0,0.35,0.025,0,0.025,0.18,0,0.12,0.9,0,0.05
248,Absol 1,Absol,1,Adamant,BrightPowder,Bite,Razor Wind,Future Sight,Quick Attack,Bite ATK,Razor Wind ATK,Future Sight ATK,Quick Attack ATK,Pressure,186,95,0.38,0.31,0.31,0.7,0.15,0.15,1,4,0,0,0,0,0,1,0.31,0,0.31,0.15,0,0.15,0.38,0,0,0.7,0,0
249,Swalot 1,Swalot,1,Quirky,Lax Incense,Stockpile,Swallow,Spit Up,Sludge,Stockpile DEF,Swallow DEF,Spit Up ATK,Sludge ATK,Liquid Ooze / Sticky Hold,146,75,0.56,0.22,0.22,0.56,0.22,0.22,1,2,1,2,0,0,0,2,0.055,0.055,0.11,0.055,0.055,0.11,0.56,0.22,0,0.56,0.22,0
250,Crawdaunt 1,Crawdaunt,1,Adamant,Persim Berry,BubbleBeam,ViceGrip,Knock Off,Protect,BubbleBeam ATK,ViceGrip ATK,Knock Off ATK,Protect DEF,Hyper Cutter / Shell Armor,146,75,0.38,0.31,0.31,0.7,0.15,0.15,1,3,1,1,0,0,0,2,0.155,0,0.155,0.075,0,0.075,0.38,0.31,0,0.7,0.15,0
251,Pidgeot 1,Pidgeot,1,Hardy,Sharp Beak,Aerial Ace,FeatherDance,Mud-Slap,Faint Attack,Aerial Ace ATK,FeatherDance SPT,Mud-Slap ATK,Faint Attack ATK,Keen Eye,218,111,0.61,0.07,0.32,0.61,0.07,0.32,1,3,0,0,1,1,0,2,0.035,0,0.035,0.035,0,0.035,0.61,0,0.32,0.61,0,0.32
252,Grumpig 1,Grumpig,1,Relaxed,Petaya Berry,Psybeam,Confuse Ray,Future Sight,Magic Coat,Psybeam ATK,Confuse Ray SPT,Future Sight ATK,Magic Coat SPT,Thick Fat / Own Tempo,176,90,0.25,0.15,0.6,0.75,0.15,0.1,1,2,0,0,1,2,0,2,0.075,0,0.075,0.075,0,0.075,0.25,0,0.6,0.75,0,0.1
253,Torkoal 1,Torkoal,1,Relaxed,Sitrus Berry,Ember,Fire Spin,SmokeScreen,Amnesia,Ember ATK,Fire Spin ATK,SmokeScreen SPT,Amnesia DEF,White Smoke,68,36,0.25,0.15,0.6,0.75,0.15,0.1,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.25,0.15,0.6,0.75,0.15,0.1
254,Kingler 1,Kingler,1,Hardy,Scope Lens,Crabhammer,Metal Claw,Mud Shot,Protect,Crabhammer ATK,Metal Claw ATK,Mud Shot ATK,Protect DEF,Hyper Cutter / Shell Armor,186,95,0.61,0.07,0.32,0.61,0.07,0.32,1,3,1,1,0,0,0,2,0.16,0,0.16,0.16,0,0.16,0.61,0.07,0,0.61,0.07,0
255,Cacturne 1,Cacturne,1,Hasty,Scope Lens,Needle Arm,Faint Attack,Acid,Mega Punch,Needle Arm ATK,Faint Attack ATK,Acid ATK,Mega Punch ATK,Sand Veil,229,117,0.58,0.37,0.05,0.88,0.06,0.06,1,4,0,0,0,0,0,1,0.21,0,0.21,0.06,0,0.06,0.58,0,0,0.88,0,0
256,Bellossom 1,Bellossom,1,Quiet,Persim Berry,Petal Dance,Safeguard,Sunny Day,Synthesis,Petal Dance ATK,Safeguard DEF,Sunny Day DEF,Synthesis DEF,Chlorophyll,122,63,0.56,0.22,0.22,0.56,0.22,0.22,1,1,1,3,0,0,0,2,0,0.11,0.11,0,0.11,0.11,0.56,0.22,0,0.56,0.22,0
257,Octillery 1,Octillery,1,Hardy,Shell Bell,Octazooka,Aurora Beam,Psybeam,Rock Blast,Octazooka ATK,Aurora Beam ATK,Psybeam ATK,Rock Blast ATK,Suction Cups,126,65,0.61,0.07,0.32,0.61,0.07,0.32,1,4,0,0,0,0,0,1,0.195,0,0.195,0.195,0,0.195,0.61,0,0,0.61,0,0
258,Huntail 1,Huntail,1,Quiet,Persim Berry,Whirlpool,Scary Face,Mud-Slap,Bite,Whirlpool ATK,Scary Face SPT,Mud-Slap ATK,Bite ATK,Swift Swim,126,65,0.56,0.22,0.22,0.56,0.22,0.22,1,3,0,0,1,1,0,2,0.11,0,0.11,0.11,0,0.11,0.56,0,0.22,0.56,0,0.22
259,Gorebyss 1,Gorebyss,1,Brave,Persim Berry,Whirlpool,Amnesia,Icy Wind,Confusion,Whirlpool ATK,Amnesia DEF,Icy Wind ATK,Confusion ATK,Swift Swim,126,65,0.7,0.15,0.15,0.32,0.6,0.08,1,3,1,1,0,0,0,2,0.075,0,0.075,0.04,0,0.04,0.7,0.15,0,0.32,0.6,0
260,Relicanth 1,Relicanth,1,Sassy,Liechi Berry,AncientPower,Water Pulse,Harden,Amnesia,AncientPower ATK,Water Pulse ATK,Harden DEF,Amnesia DEF,Swift Swim / Rock Head,131,67,0.88,0.06,0.06,0.22,0.2,0.58,1,2,1,2,0,0,0,2,0.015,0.015,0.03,0.145,0.145,0.29,0.88,0.06,0,0.22,0.2,0
261,Omastar 1,Omastar,1,Quirky,Shell Bell,BubbleBeam,Spike Cannon,Tickle,AncientPower,BubbleBeam ATK,Spike Cannon ATK,Tickle SPT,AncientPower ATK,Swift Swim / Shell Armor,146,75,0.56,0.22,0.22,0.56,0.22,0.22,1,3,0,0,1,1,0,2,0.11,0,0.11,0.11,0,0.11,0.56,0,0.22,0.56,0,0.22
262,Kabutops 1,Kabutops,1,Adamant,Scope Lens,Slash,Dig,Fury Cutter,Knock Off,Slash ATK,Dig ATK,Fury Cutter ATK,Knock Off ATK,Swift Swim / Battle Armor,196,100,0.38,0.31,0.31,0.7,0.15,0.15,1,4,0,0,0,0,0,1,0.31,0,0.31,0.15,0,0.15,0.38,0,0,0.7,0,0
263,Poliwrath 1,Poliwrath,1,Adamant,Black Belt,Submission,Dig,Rock Tomb,BubbleBeam,Submission ATK,Dig ATK,Rock Tomb ATK,BubbleBeam ATK,Water Absorb / Damp,176,90,0.38,0.31,0.31,0.7,0.15,0.15,1,4,0,0,0,0,0,1,0.31,0,0.31,0.15,0,0.15,0.38,0,0,0.7,0,0
264,Scyther 1,Scyther,1,Relaxed,Liechi Berry,Fury Cutter,Aerial Ace,Light Screen,Double Team,Fury Cutter ATK,Aerial Ace ATK,Light Screen DEF,Double Team DEF,Swarm,221,112,0.25,0.15,0.6,0.75,0.15,0.1,1,2,1,2,0,0,0,2,0.15,0.15,0.3,0.025,0.025,0.05,0.25,0.15,0,0.75,0.15,0
265,Pinsir 1,Pinsir,1,Naughty,Black Belt,Submission,Focus Energy,Swords Dance,Revenge,Submission ATK,Focus Energy DEF,Swords Dance DEF,Revenge ATK,Hyper Cutter,206,105,0.2,0.7,0.1,0.7,0.22,0.08,1,2,1,2,0,0,0,2,0.025,0.025,0.05,0.02,0.02,0.04,0.2,0.7,0,0.7,0.22,0
266,Politoed 1,Politoed,1,Relaxed,Shell Bell,Dive,Dig,Hypnosis,Swagger,Dive ATK,Dig ATK,Hypnosis SPT,Swagger SPT,Water Absorb / Damp,158,81,0.25,0.15,0.6,0.75,0.15,0.1,1,2,0,0,1,2,0,2,0.075,0,0.075,0.075,0,0.075,0.25,0,0.6,0.75,0,0.1
267,Cloyster 1,Cloyster,1,Sassy,NeverMeltIce,Aurora Beam,Spike Cannon,Supersonic,Protect,Aurora Beam ATK,Spike Cannon ATK,Supersonic SPT,Protect DEF,Shell Armor,158,81,0.88,0.06,0.06,0.22,0.2,0.58,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.88,0.06,0.06,0.22,0.2,0.58
268,Delcatty 2,Delcatty,2,Modest,Quick Claw,Fake Tears,Sing,Thunderbolt,Ice Beam,Fake Tears SPT,Sing SPT,Thunderbolt ATK,Ice Beam ATK,Cute Charm,239,122,0.35,0.45,0.2,0.34,0.6,0.06,1,2,0,0,1,2,0,2,0.225,0,0.225,0.3,0,0.3,0.35,0,0.2,0.34,0,0.06
269,Sableye 2,Sableye,2,Quirky,Lum Berry,Shadow Ball,Faint Attack,Confuse Ray,Recover,Shadow Ball ATK,Faint Attack ATK,Confuse Ray SPT,Recover DEF,Keen Eye,136,70,0.56,0.22,0.22,0.56,0.22,0.22,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.56,0.22,0.22,0.56,0.22,0.22
270,Lickitung 2,Lickitung,2,Adamant,Cheri Berry,Earthquake,Body Slam,Shadow Ball,Rock Slide,Earthquake ATK,Body Slam ATK,Shadow Ball ATK,Rock Slide ATK,Own Tempo / Oblivious,96,50,0.38,0.31,0.31,0.7,0.15,0.15,1,4,0,0,0,0,0,1,0.31,0,0.31,0.15,0,0.15,0.38,0,0,0.7,0,0
271,Weepinbell 2,Weepinbell,2,Quirky,Scope Lens,Sludge Bomb,Razor Leaf,Sleep Powder,Reflect,Sludge Bomb ATK,Razor Leaf ATK,Sleep Powder SPT,Reflect DEF,Chlorophyll,146,75,0.56,0.22,0.22,0.56,0.22,0.22,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.56,0.22,0.22,0.56,0.22,0.22
272,Graveler 2,Graveler,2,Adamant,Focus Band,Earthquake,Rock Slide,Brick Break,Counter,Earthquake ATK,Rock Slide ATK,Brick Break ATK,Counter SPT,Rock Head / Sturdy,106,55,0.38,0.31,0.31,0.7,0.15,0.15,1,3,0,0,1,1,0,2,0.155,0,0.155,0.075,0,0.075,0.38,0,0.31,0.7,0,0.15
273,Gloom 2,Gloom,2,Quirky,Pecha Berry,SolarBeam,Sunny Day,Sludge Bomb,Moonlight,SolarBeam ATK,Sunny Day DEF,Sludge Bomb ATK,Moonlight DEF,Chlorophyll,116,60,0.56,0.22,0.22,0.56,0.22,0.22,1,2,1,2,0,0,0,2,0.055,0.055,0.11,0.055,0.055,0.11,0.56,0.22,0,0.56,0.22,0
274,Porygon 2,Porygon,2,Quiet,Cheri Berry,Tri Attack,Psychic,Thunder Wave,Recover,Tri Attack ATK,Psychic ATK,Thunder Wave SPT,Recover DEF,Trace,104,54,0.56,0.22,0.22,0.56,0.22,0.22,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.56,0.22,0.22,0.56,0.22,0.22
275,Kadabra 2,Kadabra,2,Modest,TwistedSpoon,Psychic,Thunder Wave,Reflect,Recover,Psychic ATK,Thunder Wave SPT,Reflect DEF,Recover DEF,Synchronize / Inner Focus,246,125,0.35,0.45,0.2,0.34,0.6,0.06,1,1,1,2,1,1,1,3,0,0,0,0,0,0,0.35,0.45,0.2,0.34,0.6,0.06
276,Wailmer 2,Wailmer,2,Docile,Chesto Berry,Water Spout,Earthquake,Body Slam,Rest,Water Spout ATK,Earthquake ATK,Body Slam ATK,Rest DEF,Water Veil / Oblivious,156,80,0.56,0.22,0.22,0.56,0.22,0.22,1,3,1,1,0,0,0,2,0.11,0,0.11,0.11,0,0.11,0.56,0.22,0,0.56,0.22,0
277,Roselia 2,Roselia,2,Docile,Quick Claw,Giga Drain,Sludge Bomb,GrassWhistle,Synthesis,Giga Drain ATK,Sludge Bomb ATK,GrassWhistle SPT,Synthesis DEF,Natural Cure / Poison Point,166,85,0.56,0.22,0.22,0.56,0.22,0.22,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.56,0.22,0.22,0.56,0.22,0.22
278,Volbeat 2,Volbeat,2,Quirky,Petaya Berry,Signal Beam,Thunderbolt,Ice Punch,Tail Glow,Signal Beam ATK,Thunderbolt ATK,Ice Punch ATK,Tail Glow DEF,Illuminate / Swarm,269,137,0.56,0.22,0.22,0.56,0.22,0.22,1,3,1,1,0,0,0,2,0.11,0,0.11,0.11,0,0.11,0.56,0.22,0,0.56,0.22,0
279,Illumise 2,Illumise,2,Quirky,Petaya Berry,Silver Wind,Thunderbolt,Ice Punch,Giga Drain,Silver Wind ATK,Thunderbolt ATK,Ice Punch ATK,Giga Drain ATK,Oblivious,269,137,0.56,0.22,0.22,0.56,0.22,0.22,1,4,0,0,0,0,0,1,0.22,0,0.22,0.22,0,0.22,0.56,0,0,0.56,0,0
280,Ivysaur 2,Ivysaur,2,Quirky,BrightPowder,Giga Drain,Sludge Bomb,Sleep Powder,Leech Seed,Giga Drain ATK,Sludge Bomb ATK,Sleep Powder SPT,Leech Seed SPT,Overgrow,156,80,0.56,0.22,0.22,0.56,0.22,0.22,1,2,0,0,1,2,0,2,0.11,0,0.11,0.11,0,0.11,0.56,0,0.22,0.56,0,0.22
281,Charmeleon 2,Charmeleon,2,Hardy,Scope Lens,Flamethrower,Slash,AncientPower,Dragon Rage,Flamethrower ATK,Slash ATK,AncientPower ATK,Dragon Rage ATK,Blaze,259,132,0.61,0.07,0.32,0.61,0.07,0.32,1,4,0,0,0,0,0,1,0.195,0,0.195,0.195,0,0.195,0.61,0,0,0.61,0,0
282,Wartortle 2,Wartortle,2,Docile,Shell Bell,Surf,Ice Beam,Rapid Spin,Protect,Surf ATK,Ice Beam ATK,Rapid Spin ATK,Protect DEF,Torrent,152,78,0.56,0.22,0.22,0.56,0.22,0.22,1,3,1,1,0,0,0,2,0.11,0,0.11,0.11,0,0.11,0.56,0.22,0,0.56,0.22,0
283,Parasect 2,Parasect,2,Calm,Leftovers,Spore,Giga Drain,Dig,Double Team,Spore SPT,Giga Drain ATK,Dig ATK,Double Team DEF,Effect Spore,96,50,0.4,0.5,0.1,0.25,0.62,0.13,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.4,0.5,0.1,0.25,0.62,0.13
284,Machoke 2,Machoke,2,Adamant,Scope Lens,Cross Chop,Rock Slide,Foresight,Scary Face,Cross Chop ATK,Rock Slide ATK,Foresight SPT,Scary Face SPT,Guts,126,65,0.38,0.31,0.31,0.7,0.15,0.15,1,2,0,0,1,2,0,2,0.155,0,0.155,0.075,0,0.075,0.38,0,0.31,0.7,0,0.15
285,Haunter 2,Haunter,2,Relaxed,Lum Berry,Psychic,Hypnosis,Nightmare,Confuse Ray,Psychic ATK,Hypnosis SPT,Nightmare SPT,Confuse Ray SPT,Levitate,203,103,0.25,0.15,0.6,0.75,0.15,0.1,1,1,0,0,1,3,0,2,0.075,0,0.075,0.075,0,0.075,0.25,0,0.6,0.75,0,0.1
286,Bayleef 2,Bayleef,2,Docile,Chesto Berry,Giga Drain,Body Slam,GrassWhistle,Rest,Giga Drain ATK,Body Slam ATK,GrassWhistle SPT,Rest DEF,Overgrow,156,80,0.56,0.22,0.22,0.56,0.22,0.22,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.56,0.22,0.22,0.56,0.22,0.22
287,Quilava 2,Quilava,2,Docile,BrightPowder,Flamethrower,Crush Claw,Body Slam,SmokeScreen,Flamethrower ATK,Crush Claw ATK,Body Slam ATK,SmokeScreen SPT,Blaze,196,100,0.56,0.22,0.22,0.56,0.22,0.22,1,3,0,0,1,1,0,2,0.11,0,0.11,0.11,0,0.11,0.56,0,0.22,0.56,0,0.22
